Name,Describe,Website,Type
Community 01,This is a community mark 01,http://localhost:3000/new/community,0
Community 02,This is a community mark 02,http://localhost:3000/new/community,1
Community 03,This is a community mark 03,http://localhost:3000/new/community,0
Community 04,This is a community mark 04,http://localhost:3000/new/community,1
Community 05,This is a community mark 05,http://localhost:3000/new/community,0
Community 06,This is a community mark 06,http://localhost:3000/new/community,1
Community 07,This is a community mark 07,http://localhost:3000/new/community,0
Community 08,This is a community mark 08,http://localhost:3000/new/community,1
Community 09,This is a community mark 09,http://localhost:3000/new/community,0
Community 10,This is a community mark 10,http://localhost:3000/new/community,1
